Code,Name,Market,Marcap
0054V0,엔에이치스팩32호,KOSDAQ,12464082500
492220,KB제31호스팩,KOSDAQ,12451050000
482520,교보16호스팩,KOSDAQ,12444000000
0131D0,키움히어로제2호스팩,KOSDAQ,12405460000
101000,KS인더스트리,KOSDAQ,12328645828
065570,삼영이엔씨,KOSDAQ,12295692232
0091W0,신영스팩11호,KOSDAQ,12227020000
145995,삼양사우,KOSPI,12193806500
0088D0,메리츠제1호스팩,KOSDAQ,12169500000
289010,아이스크림에듀,KOSDAQ,12160263232
060480,국일신동,KOSDAQ,12132460000
0041L0,하나35호스팩,KOSDAQ,12047940000
477760,DB금융스팩12호,KOSDAQ,11972000000
45226K,한화갤러리아우,KOSPI,11951894050
0132G0,교보20호스팩,KOSDAQ,11928060000
025870,신라에스지,KOSDAQ,11840000000
482690,대신밸런스제19호스팩,KOSDAQ,11707275000
469900,하나31호스팩,KOSDAQ,11641585000
028080,휴맥스홀딩스,KOSDAQ,11639591600
0071M0,삼성스팩11호,KOSDAQ,11462400000
079190,케스피온,KOSDAQ,11429942576
477470,미래에셋비전스팩5호,KOSDAQ,11425800000
474660,신한제12호스팩,KOSDAQ,11398800000
474490,유안타제16호스팩,KOSDAQ,11350600000
487360,신한제14호스팩,KOSDAQ,11336400000
0105P0,유진스팩12호,KOSDAQ,11280380000
496070,신한제16호스팩,KOSDAQ,11228760000
002680,한탑,KOSDAQ,11213927865
0129K0,신한제18호스팩,KOSDAQ,11077020000
250930,예선테크,KOSDAQ,11074947664
0096D0,미래에셋비전스팩9호,KOSDAQ,10906500000
050090,비케이홀딩스,KOSDAQ,10802443365
0098T0,교보19호스팩,KOSDAQ,10789200000
486630,KB제30호스팩,KOSDAQ,10779300000
900270,헝셩그룹,KOSDAQ,10735805220
38380K,LX홀딩스1우,KOSPI,10711233350
493790,유안타제17호스팩,KOSDAQ,10699650000
247660,나노씨엠에스,KOSDAQ,10642604000
084695,대상홀딩스우,KOSPI,10605526020
0004Y0,디비금융제14호스팩,KOSDAQ,10592795000
225430,케이엠제약,KOSDAQ,10552459720
0130D0,신한제17호스팩,KOSDAQ,10551840000
308100,형지글로벌,KOSDAQ,10482919188
489210,교보17호스팩,KOSDAQ,10463600000
043100,알파AI,KOSDAQ,10457241600
478110,이베스트스팩6호,KOSDAQ,10215700000
466690,키움히어로제1호스팩,KOSDAQ,10184905000
0041B0,교보18호스팩,KOSDAQ,10130400000
498390,한화플러스제5호스팩,KOSDAQ,10093600000
044380,주연테크,KOSPI,10059126480
004255,NPC우,KOSPI,9984480000
00781K,코리아써키트2우B,KOSPI,9929466330
084180,수성웹툰,KOSDAQ,9922781367
472220,신영스팩10호,KOSDAQ,9849000000
003075,코오롱글로벌우,KOSPI,9725876810
389680,유디엠텍,KOSDAQ,9643683187
488060,유진스팩11호,KOSDAQ,9581600000
106080,케이이엠텍,KOSDAQ,9506998050
145210,다이나믹디자인,KOSPI,9461011840
001755,한양증권우,KOSPI,9391198200
092600,앤씨앤,KOSDAQ,9371201204
004105,태양금속우,KOSPI,9355500000
484130,하나34호스팩,KOSDAQ,9198200000
001067,JW중외제약2우B,KOSPI,9175820100
469480,IBKS제24호스팩,KOSDAQ,9009900000
473950,에스케이증권제13호스팩,KOSDAQ,8972600000
900120,씨엑스아이,KOSDAQ,8924558340
468760,유진스팩10호,KOSDAQ,8819200000
487830,신한제15호스팩,KOSDAQ,8787000000
472230,에스케이증권제11호스팩,KOSDAQ,8663175000
0068Y0,비엔케이제3호스팩,KOSDAQ,8563970000
000225,유유제약1우,KOSPI,8523656800
487720,키움제10호스팩,KOSDAQ,8502300000
03481K,해성산업1우,KOSDAQ,8430012360
001770,SHD,KOSPI,8419104540
33637L,솔루스첨단소재2우B,KOSPI,8236685280
0041J0,엘에스스팩1호,KOSDAQ,8195340000
199730,바이오인프라,KOSDAQ,8186729661
465320,교보15호스팩,KOSDAQ,8058150000
087260,모바일어플라이언스,KOSDAQ,8040556667
001515,SK증권우,KOSPI,7864153140
312610,에이에프더블류,KOSDAQ,7738131216
035290,골드앤에스,KOSDAQ,7723589760
079970,투비소프트,KOSDAQ,7646223464
475250,하나33호스팩,KOSDAQ,7622000000
008290,원풍물산,KOSDAQ,7589370947
474930,신한제13호스팩,KOSDAQ,7565800000
001065,JW중외제약우,KOSPI,7454531800
012205,계양전기우,KOSPI,7341816120
065420,에스아이리소스,KOSDAQ,7283384140
276040,스코넥,KOSDAQ,7073119545
473000,에스케이증권제12호스팩,KOSDAQ,6802050000
475240,하나32호스팩,KOSDAQ,6624000000
011080,형지I&C,KOSDAQ,6386635800
004985,성신양회우,KOSPI,6216200250
121850,코이즈,KOSDAQ,5947030824
26490K,크라운제과우,KOSPI,5809435600
000325,노루홀딩스우,KOSPI,5674924700
004835,덕성우,KOSPI,5581920000
044180,KD,KOSDAQ,5477148795
002995,금호건설우,KOSPI,5272478640
313760,캐리,KOSDAQ,5244963048
090355,노루페인트우,KOSPI,5024917100
052770,아이톡시,KOSDAQ,4545457488
000145,하이트진로홀딩스우,KOSPI,4425614000
009415,태영건설우,KOSPI,4348326060
000545,흥국화재우,KOSPI,3840000000
005965,동부건설우,KOSPI,3769724400
014825,동원시스템즈우,KOSPI,3554934060
007575,일양약품우,KOSPI,3333649200
005745,크라운해태홀딩스우,KOSPI,3171833280
014285,금강공업우,KOSPI,3108641250
36328K,티와이홀딩스우,KOSPI,2855126070
014915,성문전자우,KOSPI,2598000000
000227,유유제약2우B,KOSPI,2438348000
001525,동양우,KOSPI,2389796500
008355,남선알미우,KOSPI,2145993300
021045,대호특수강우,KOSDAQ,2044865720
004545,깨끗한나라우,KOSPI,1675182000
011155,CJ씨푸드1우,KOSPI,1488000000
001527,동양2우B,KOSPI,1415250400
002785,진흥기업우B,KOSPI,1166673698
004415,서울식품우,KOSPI,1100015250
002787,진흥기업2우B,KOSPI,882949960
043090,더테크놀로지,KOSDAQ,869279250
032685,소프트센우,KOSDAQ,732887740
